device,sensor,value,date,time,,,,,
AM2315,Humidity,53.48,11/7/2022,15:57:02,,,,,
GY30,Lux,83.33,11/7/2022,15:57:02,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:02,,,,,
AM2315,Temperature,29.37,11/7/2022,15:57:02,,,,,
ADS1115,ADC,700.56,11/7/2022,15:57:02,,,,,
AM2315,Temperature,29.34,11/7/2022,15:57:12,,,,,
ADS1115,ADC,701.11,11/7/2022,15:57:12,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:12,,,,,
GY30,Lux,83.33,11/7/2022,15:57:12,,,,,
AM2315,Humidity,53.62,11/7/2022,15:57:12,,,,,
AM2315,Temperature,29.35,11/7/2022,15:57:15,,,,,
GY30,Lux,83.33,11/7/2022,15:57:15,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:15,,,,,
AM2315,Humidity,53.41,11/7/2022,15:57:15,,,,,
ADS1115,ADC,701.67,11/7/2022,15:57:15,,,,,
AM2315,Temperature,29.35,11/7/2022,15:57:19,,,,,
ADS1115,ADC,701.67,11/7/2022,15:57:19,,,,,
AM2315,Humidity,53.55,11/7/2022,15:57:19,,,,,
GY30,Lux,83.33,11/7/2022,15:57:19,,,,,
BMP280,Pressure,101375,11/7/2022,15:57:19,,,,,
AM2315,Temperature,29.33,11/7/2022,15:57:26,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:26,,,,,
AM2315,Humidity,53.76,11/7/2022,15:57:26,,,,,
GY30,Lux,83.33,11/7/2022,15:57:26,,,,,
ADS1115,ADC,702.22,11/7/2022,15:57:26,,,,,
AM2315,Temperature,29.34,11/7/2022,15:57:29,,,,,
GY30,Lux,83.33,11/7/2022,15:57:29,,,,,
AM2315,Humidity,53.52,11/7/2022,15:57:29,,,,,
BMP280,Pressure,101375,11/7/2022,15:57:29,,,,,
ADS1115,ADC,702.78,11/7/2022,15:57:29,,,,,
AM2315,Temperature,29.33,11/7/2022,15:57:33,,,,,
ADS1115,ADC,703.33,11/7/2022,15:57:33,,,,,
AM2315,Humidity,53.32,11/7/2022,15:57:33,,,,,
GY30,Lux,83.33,11/7/2022,15:57:33,,,,,
BMP280,Pressure,101375,11/7/2022,15:57:33,,,,,
AM2315,Temperature,29.35,11/7/2022,15:57:36,,,,,
ADS1115,ADC,703.89,11/7/2022,15:57:36,,,,,
BMP280,Pressure,101373,11/7/2022,15:57:36,,,,,
GY30,Lux,90.83,11/7/2022,15:57:36,,,,,
AM2315,Humidity,53.04,11/7/2022,15:57:36,,,,,
AM2315,Temperature,29.32,11/7/2022,15:57:40,,,,,
ADS1115,ADC,704.44,11/7/2022,15:57:40,,,,,
AM2315,Humidity,53.22,11/7/2022,15:57:40,,,,,
GY30,Lux,90.83,11/7/2022,15:57:40,,,,,
BMP280,Pressure,101373,11/7/2022,15:57:40,,,,,
AM2315,Temperature,29.33,11/7/2022,15:57:43,,,,,
ADS1115,ADC,704.44,11/7/2022,15:57:43,,,,,
GY30,Lux,90.83,11/7/2022,15:57:43,,,,,
AM2315,Humidity,53.29,11/7/2022,15:57:43,,,,,
BMP280,Pressure,101373,11/7/2022,15:57:43,,,,,
AM2315,Temperature,29.33,11/7/2022,15:57:46,,,,,
ADS1115,ADC,705,11/7/2022,15:57:46,,,,,
BMP280,Pressure,101373,11/7/2022,15:57:46,,,,,
GY30,Lux,90.83,11/7/2022,15:57:46,,,,,
AM2315,Humidity,53.22,11/7/2022,15:57:46,,,,,
AM2315,Temperature,29.34,11/7/2022,15:57:50,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:50,,,,,
AM2315,Humidity,53.48,11/7/2022,15:57:50,,,,,
ADS1115,ADC,705.56,11/7/2022,15:57:50,,,,,
AM2315,Temperature,29.32,11/7/2022,15:57:57,,,,,
ADS1115,ADC,706.67,11/7/2022,15:57:57,,,,,
BMP280,Pressure,101374,11/7/2022,15:57:57,,,,,
GY30,Lux,85.83,11/7/2022,15:57:57,,,,,
AM2315,Humidity,53.82,11/7/2022,15:57:57,,,,,
AM2315,Temperature,29.32,11/7/2022,15:58:00,,,,,
ADS1115,ADC,707.22,11/7/2022,15:58:00,,,,,
BMP280,Pressure,101375,11/7/2022,15:58:00,,,,,
GY30,Lux,85.83,11/7/2022,15:58:00,,,,,
AM2315,Humidity,53.79,11/7/2022,15:58:00,,,,,
AM2315,Temperature,29.31,11/7/2022,15:58:07,,,,,
ADS1115,ADC,707.22,11/7/2022,15:58:07,,,,,
GY30,Lux,85.83,11/7/2022,15:58:07,,,,,
AM2315,Humidity,53.44,11/7/2022,15:58:07,,,,,
BMP280,Pressure,101375,11/7/2022,15:58:07,,,,,
AM2315,Temperature,29.31,11/7/2022,15:58:10,,,,,
GY30,Lux,86.67,11/7/2022,15:58:10,,,,,
AM2315,Humidity,53.41,11/7/2022,15:58:10,,,,,
BMP280,Pressure,101374,11/7/2022,15:58:10,,,,,
ADS1115,ADC,707.78,11/7/2022,15:58:10,,,,,
AM2315,Temperature,29.31,11/7/2022,15:58:14,,,,,
ADS1115,ADC,708.33,11/7/2022,15:58:14,,,,,
BMP280,Pressure,103375,11/7/2022,15:58:14,,,,,
GY30,Lux,86.67,11/7/2022,15:58:14,,,,,
AM2315,Humidity,53.48,11/7/2022,15:58:14,,,,,
AM2315,Temperature,29.3,11/7/2022,15:58:17,,,,,
ADS1115,ADC,708.89,11/7/2022,15:58:17,,,,,
BMP280,Pressure,101375,11/7/2022,15:58:17,,,,,
GY30,Lux,85.83,11/7/2022,15:58:17,,,,,
AM2315,Humidity,53.62,11/7/2022,15:58:17,,,,,
AM2315,Temperature,29.32,11/7/2022,15:58:21,,,,,
ADS1115,ADC,708.89,11/7/2022,15:58:21,,,,,
BMP280,Pressure,101375,11/7/2022,15:58:21,,,,,
GY30,Lux,86.67,11/7/2022,15:58:21,,,,,
AM2315,Humidity,53.59,11/7/2022,15:58:21,,,,,
AM2315,Humidity,53.7,11/7/2022,15:58:24,,,,,
AM2315,Temperature,29.31,11/7/2022,15:58:24,,,,,
BMP280,Pressure,101375,11/7/2022,15:58:24,,,,,
GY30,Lux,86.67,11/7/2022,15:58:24,,,,,
ADS1115,ADC,709.44,11/7/2022,15:58:24,,,,,
AM2315,Temperature,29.32,11/7/2022,15:58:28,,,,,
